hex addrs,,dec addrs,,size,,mapping by,name in BASIC source,description
min,max,min,max,bytes,KiB,,,
,,,,,,,,overall memory map – low detail
0000,9eff,0,40703,40704,39.8,cody_computer.spin,,physical RAM
9f00,9fff,40704,40959,256,0.3,cody_computer.spin,,VIA registers
a000,dfff,40960,57343,16384,16.0,cody_computer.spin,,“hardware” and shared RAM in Propeller
e000,ffff,57344,65535,8192,8.0,cody_computer.spin,,BASIC “ROM” in Propeller
,,,,,,,,
,,,,,,,,physical RAM – medium detail
0000,00ff,0,255,256,0.3,65C02,,zero page
0100,01ff,256,511,256,0.3,65C02,,stack page
0200,64ff,512,25855,25344,24.8,BASIC,PROGMEM..<PROGEND,BASIC program memory (tokenized source code)
6500,65ff,25856,26111,256,0.3,,,(unused)
6600,9e39,26112,40505,14394,14.1,BASIC,DATAMEM,BASIC variables and other runtime data
9e40,9eff,40512,40703,192,0.2,,,(unused)
,,,,,,,,
,,,,,,,,VIA registers – medium detail
9f00,9f0f,40704,40719,16,0.0,VIA,VIA_BASE,VIA registers
9f10,9fff,40720,40959,240,0.2,VIA,,(repeated mappings of VIA registers)
,,,,,,,,
,,,,,,,,“hardware” and shared RAM in Propeller – medium detail
a000,cfff,40960,53247,12288,12.0,VID (cody_line.spin),,"shared RAM, usable by VID"
d000,d0ff,53248,53503,256,0.3,"VID (cody_line.spin, cody_video.spin)",,VID registers
d100,d3ff,53504,54271,768,0.8,,,(unused register space/RAM)
d400,d41f,54272,54303,32,0.0,SID (cody_audio.spin),,SID registers
d420,d47f,54304,54399,96,0.1,,,(unused register space/RAM)
d480,d49f,54400,54431,32,0.0,UART 1 (cody_uart.spin),UART1_BASE,UART 1 registers
d4a0,d4bf,54432,54463,32,0.0,UART 2 (cody_uart.spin),UART2_BASE,UART 2 registers
d4c0,d7ff,54464,55295,832,0.8,,,(unused register space/RAM)
d800,dfff,55296,57343,2048,2.0,VID (cody_line.spin),,"shared RAM, usable by VID"
,,,,,,,,
,,,,,,,,physical RAM – full detail
0000,0000,0,0,1,0.0,BASIC,SYS_A,SYS call A register
0001,0001,1,1,1,0.0,BASIC,SYS_X,SYS call X register
0002,0002,2,2,1,0.0,BASIC,SYS_Y,SYS call Y register
0003,0003,3,3,1,0.0,BASIC ISR,RUNMODE,run mode
0004,0004,4,4,1,0.0,BASIC,IOMODE,IO mode
0005,0005,5,5,1,0.0,BASIC,IOBAUD,IO baud rate
0006,0007,6,7,2,0.0,BASIC ISR,JIFFIES,timer count
0008,0009,8,9,2,0.0,ROM,ISRPTR,interrupt/break vector (redirected from ROM to allow changing at runtime)
000a,000a,10,10,1,0.0,BASIC,STACKREG,65C02 stack position to restore when unwinding a BASIC error
000b,000c,11,12,2,0.0,BASIC,RANDOML..=RANDOMH,RNG seed
000d,000d,13,13,1,0.0,BASIC,TABPOS,tab position in current line
000e,000e,14,14,1,0.0,BASIC,PROMPT,character to show for INPUT prompts
000f,000f,15,15,1,0.0,BASIC,PROGOFF,offset in current BASIC program line
0010,0015,16,21,6,0.0,BASIC ISR,KEYROW0..=KEYROW5,keyboard key pressed bits
0016,0017,22,23,2,0.0,BASIC ISR,KEYROW6..=KEYROW7,joystick button pressed bits
0018,0018,24,24,1,0.0,BASIC,KEYDEBO,keyboard code used for debouncing
0019,0019,25,25,1,0.0,BASIC,KEYLAST,last keyboard code and modifiers
001a,001a,26,26,1,0.0,BASIC,KEYLOCK,keyboard shift lock status
001b,001b,27,27,1,0.0,BASIC,KEYMODS,keyboard modifiers only
001c,001c,28,28,1,0.0,BASIC,KEYCODE,keyboard scan code and modifiers
001d,001d,29,29,1,0.0,BASIC,EXPRSNUM,expression stack depth
001e,001e,30,30,1,0.0,BASIC,GOSUBSNUM,GOSUB-RETURN stack depth
001f,001f,31,31,1,0.0,BASIC,FORSNUM,FOR-NEXT stack depth
0020,0021,32,33,2,0.0,BASIC,MEMSPTR,source pointer for memory-related utility routines
0022,0023,34,35,2,0.0,BASIC,MEMDPTR,destination pointer for memory-related utility routines
0024,0025,36,37,2,0.0,BASIC,MEMSIZE,size of memory for memory-related utility routines
0026,0027,38,39,2,0.0,BASIC,LINENUM,line number for related utility routines
0028,0029,40,41,2,0.0,BASIC,LINEPTR,line pointer for related utility routines
002a,002b,42,43,2,0.0,BASIC,STOPPTR,stop pointer for LIST
002c,002c,44,44,1,0.0,BASIC,DBUFLEN,data buffer length
002d,002d,45,45,1,0.0,BASIC,IBUFLEN,input buffer length
002e,002e,46,46,1,0.0,BASIC,OBUFLEN,output buffer length
002f,002f,47,47,1,0.0,BASIC,TBUFLEN,token buffer length
0030,0031,48,49,2,0.0,BASIC,NUMONE,first parameter for number operations
0032,0033,50,51,2,0.0,BASIC,NUMTWO,second parameter for number operations
0034,0036,52,54,3,0.0,BASIC,NUMANS,answer for number operations
0037,0037,55,55,1,0.0,BASIC,CURATTR,cursor background attributes (for color memory)
